Geo_Code,Region,Province,Province - Postal,Latitude,Longitude,English and French, English only,French only,Neither English nor French,Average number of children at home per census family,Average number of persons in private households,Average number of persons per census family,Census-family households,Number of census family persons,Population in 2011,Total Private dwellings occupied by usual residents,Total children in census families in private households,Total couple families by family structure and number of children,Total number of census families in private households: note 7,Total number of census families in private households: note 8,Total number of persons aged 65 years and over in private households,Total number of persons in private households,Total private dwellings
A2A,Grand Falls,Newfoundland and Labrador,NL,48.9332,-55.6649,430,8455,5,15,0.8,2.3,2.7,2760,7565,8965,3808,2375,2385,2805,2805,1545,8835,4044
A2B,Windsor,Newfoundland and Labrador,NL,48.9499,-55.6649,110,4835,0,5,0.8,2.4,2.7,1530,4215,4950,1991,1330,1305,1580,1580,810,4830,2311
A2H,Corner Brook,Newfoundland and Labrador,NL,48.9156,-57.797,1140,24045,0,10,0.9,2.4,2.7,7670,21380,25595,10475,6960,6545,7870,7870,4155,25100,11572
A2N,Stephenville,Newfoundland and Labrador,NL,48.55,-58.5818,530,8190,0,10,0.9,2.3,2.7,2650,7180,8813,3838,2400,2075,2705,2705,1495,8680,4147
A2V,Labrador City,Newfoundland and Labrador,NL,52.9517,-66.9328,805,6515,40,5,0.9,2.6,2.8,2260,6525,7367,2859,2170,2050,2305,2305,415,7345,2976
A5A,Clarenville,Newfoundland and Labrador,NL,48.1666,-53.9648,285,7545,0,10,0.9,2.5,2.8,2455,6900,7974,3158,2245,2160,2505,2500,1140,7840,3463
A8A,Deer Lake,Newfoundland and Labrador,NL,49.1667,-57.4316,110,6360,0,0,0.8,2.5,2.7,2075,5770,6539,2595,1810,1815,2145,2145,1150,6465,3722
B0C,North Victoria County (Dingwall),Nova Scotia,NS,46.6482,-60.5396,75,2705,0,0,1,2.4,2.8,820,2335,2807,1164,840,660,845,845,485,2765,1688
B0E,West Cape Breton Island (Baddeck),Nova Scotia,NS,46.1133,-61.0251,6120,19965,125,15,0.9,2.4,2.8,7705,21940,26573,11120,7475,6570,7895,7895,5490,26135,14472
B0H,Canso region (Havre Boucher),Nova Scotia,NS,45.3335,-61.8333,540,9860,5,0,0.9,2.4,2.8,3155,8885,10478,4386,2935,2730,3220,3220,1955,10405,5789
B0J,Mainland east shore (Lunenburg),Nova Scotia,NS,44.7817,-63.3498,2685,36915,35,15,0.8,2.3,2.6,12485,33425,40014,17477,9710,11040,12675,12675,8105,39455,22689
B0K,Southern Northumberland Strait (Pictou),Nova Scotia,NS,45.6138,-62.9506,1605,34585,5,40,0.9,2.3,2.7,11035,30565,36827,15637,9965,9370,11230,11230,6625,36160,20135
B0L,Isthmus of Chignecto (River Hébert),Nova Scotia,NS,45.6908,-64.3641,65,2480,0,0,0.8,2.3,2.6,830,2175,2547,1130,630,700,845,845,560,2550,1650
B0M,Cobequid Bay north shore (Springhill),Nova Scotia,NS,45.5354,-64.0393,605,16505,10,5,0.8,2.3,2.7,5195,14140,17716,7539,4400,4450,5295,5290,3455,17015,9602
B0N,Hants County (Shubenacadie),Nova Scotia,NS,45.0963,-63.4701,1765,37625,10,80,0.9,2.4,2.7,11995,33700,39909,16299,11065,10340,12290,12290,6160,39350,18244
B0P,Kings County (Kingston),Nova Scotia,NS,45.0328,-64.6566,3155,36425,85,50,0.9,2.4,2.8,12115,34110,40186,16347,11150,10645,12320,12320,6635,39515,17914
B0R,West Lunenburg County (New Germany),Nova Scotia,NS,44.6003,-64.7443,285,5565,0,0,0.7,2.2,2.5,1890,4950,5895,2621,1305,1705,1940,1940,1275,5850,3668
B0S,West Annapolis County (Middleton),Nova Scotia,NS,44.6861,-65.3002,1115,16095,10,10,0.7,2.2,2.6,5410,14205,17519,7922,3985,4740,5475,5475,3875,17165,9797
