Neighbourhood,Social Assistance Recipients,Local Employment,Businesses,Debt Risk Score,Home Prices,Child Care Spaces,City Grants Funding $,Walk Score,Watermain Breaks,Salvation Army Donors,Total Area,Total Population,Pop - Males,Pop - Females,Pop 0 - 4 years,Pop 5 - 9 years,Pop 10 - 14 years,Pop 15 -19 years,Pop 20 - 24 years,Pop  25 - 29 years,Pop 30 - 34 years,Pop 65 - 69 years,Pop 35 - 39 years,Pop 40 - 44 years,Pop 45 - 49 years,Pop 50 - 54 years,Pop 55 - 59 years,Pop 60 - 64 years,Pop 70 - 74 years,Pop 75 - 79 years,Pop 80 - 84 years,Pop 85 years and over,Home Language Category,   Language - Chinese,   Language - Tamil,   Language - Spanish,   Language - Italian,   Language - Portuguese,   Language - Tagalog,   Language - Urdu,   Language - Russian,   Language - Persian (Farsi),   Language - Korean,Child 0-14,Youth 15-24,Seniors 55 and over,Seniors 65 and over,Green Rebate Programs,Tree Cover,Green Spaces,Pollutants Released to Air,Pollutant Non-Carcinogenic TEP Score,Pollutant Carcinogenic TEP Score,Female Fertility,Premature Mortality,Student Nutrition,Health Providers,Breast Cancer Screenings,Cervical Cancer Screenings,DineSafe Inspections,Rent Bank Applicants,Social Housing Units,Social Housing Turnover,Social Housing Waiting List,Home Prices,Mid-Century Highrise Population,Percent Mid-Century Highrise Population,Mid-Century Highrise Households,Percent Mid-Century Highrise Households,Linguistic Diversity Index,TCHC Facility Amenities,PFR Program Registrations,PFR Program Free Registrations,PFR Community Space Use,PFR Permits Issued,Drug Arrests,Assaults,Sexual Assaults,Break & Enters,Fire Medical Calls,Total Major Crime Incidents,Hazardous Incidents,Fire Vehicle Incidents,Fires & Fire Alarms,Arsons,Murders,Thefts,Vehicle Thefts,Robberies,Traffic Collisions,Road Kilometres,Road Volume,TTC Stops,Pedestrian/Other Collisions,Part-Time Employment,Low Income Families,Low Income Population,Low Income Children (Age 0-17),Low Income Older Adults (Age 65+),Low Income Lone Parent Families,Lone Parent Families,Low Income Lone Parent Families Pop,Lone Parent Families Population
Kennedy Park,2583,1824,261,729,293600,82,9000,62,6,354,3.6,17050,8190,8875,975,925,1030,1140,1070,1095,1070,645,1140,1325,1530,1370,1220,900,540,475,365,255,16255,1145,955,265,315,75,1305,225,25,200,35,2940,2200,4405,2300,200,826781.0705,0.119007268,36,36,0,48.33702882,256.9,1295,17,56.89,59.03,1,14,1661,5.6875,540,293600,3900,22.9,1810,27.6,0.725584944,10,5115,329,1156,3389,48,225,20,78,805,461,105,97,280,0,0,8,23,59,117,30.81869749,2876.75,73,155,532,2450,4810,1380,210,480,1100,1250,2830
Ionview,1675,1003,148,712,330109,45,70000,70,4,285,2,13095,6205,6885,795,710,680,770,930,975,950,500,890,1010,1130,1010,830,685,420,330,265,175,12475,800,1075,170,140,45,1100,165,15,65,20,2190,1705,3195,1680,129,409684.0972,0.13033001,0,0,0,52.56769374,232.9,420,15,55.62,60.39,1,12,332,1.714285714,393,330109,5795,44.3,2550,50.2,0.707344308,0,16,0,325,660,17,81,17,32,402,173,45,27,84,0,1,0,11,14,32,16.898618,2664,22,111,270,1690,3350,980,180,340,850,900,2120
Dorset Park,2803,12722,969,727,279189,52,0,68,5,558,6,24360,11520,12840,1690,1460,1340,1505,1500,1700,1740,820,1790,1755,2000,1935,1525,1190,655,655,540,555,22755,2410,2955,290,205,70,1310,870,35,430,50,4490,2995,5960,3245,232,631875.4617,0.173972028,496649,858229.8,306.96,57.77088182,196,1188,31,58.71,59.91,10,13,510,1.875,515,279189,7130,29.3,2785,32.6,0.798829603,7,3458,667,671,2675,39,179,20,88,708,419,110,131,230,2,0,7,30,56,251,39.00312698,3959,93,348,2656,3010,6590,1990,390,530,1330,1390,3370
Bendale,2729,17680,853,738,329355,200,7500,64,6,968,7.4,27870,13455,14405,1525,1460,1425,1655,2085,2030,1840,1135,1905,1920,2080,1915,1645,1505,1085,1070,850,710,26175,3585,1750,335,300,110,1445,970,45,425,175,4420,3735,8015,4855,372,1772970.419,0.981964797,55313,127150.2,0,57.58287653,204.7,1645,84,59.19,62.08,14,19,508,3.8,701,329355,3630,13,1210,12,0.768222994,7,3120,884,677,2373,51,232,25,93,960,546,129,174,264,1,0,10,70,65,258,62.86449729,4499.117647,118,851,6990,3170,6870,1960,440,470,1310,1270,3320
Agincourt South-Malvern West,1542,18329,1378,756,332710,135,8900,66,12,533,7.9,21990,10630,11350,1080,930,1150,1480,1630,1500,1275,905,1360,1605,1950,1770,1500,1325,850,705,565,410,21155,9370,1035,130,415,60,500,395,25,170,70,3165,3095,6255,3435,470,1400164.909,0.2397495,236731,421649.45,2592.39,42.1021553,156.1,350,75,61.83,62.68,21,12,172,2.25,385,332710,2785,12.7,1020,14.8,0.839875918,0,10486,0,1387,4462,20,141,24,110,558,380,66,125,233,2,0,5,36,44,160,55.9797809,3773.071429,125,281,3851,3110,6400,1440,530,370,1030,930,2590
Agincourt North,1930,7449,353,765,375307,130,0,66,4,467,7.3,30280,14445,15845,1320,1345,1560,2000,2165,2145,1685,1430,1715,2125,2655,2360,2105,2000,1245,1025,745,650,28950,14710,2845,145,150,70,780,350,20,140,55,4235,4150,9225,5120,775,1254144.346,0.250098151,16092,82592.3,607.86,42.26002941,138.7,500,20,65.87,64.22,9,6,77,0,531,375307,1905,6.3,540,5.9,0.829436197,0,4233,0,229,2958,20,74,6,105,413,296,60,89,130,0,0,4,33,54,288,57.45648472,3584.058824,94,129,1465,3980,8250,1840,810,490,1370,1230,3310
Milliken,1921,16901,2090,770,387879,220,2000,65,1,337,9.4,27160,13055,14115,1265,1200,1330,1715,2020,2055,1500,1145,1700,1820,2205,2130,2065,1855,960,850,695,700,26090,16265,1515,75,45,20,675,235,0,60,30,3800,3710,8255,4325,815,1043903.036,0.512021903,222837,3546500.6,8791.76,42.19229861,120,0,137,67.02,64.82,74,1,247,6.666666667,404,387879,825,3,310,4,0.807339661,0,3292,499,1199,2381,5,79,3,124,425,325,43,89,183,2,0,15,67,32,426,67.435866,3917.571429,160,487,4296,3960,8330,1800,770,440,1180,1070,2920
Rouge,2994,14207,877,738,426850,210,0,42,2,805,37.6,45905,22275,23635,2670,2705,3150,3465,3475,3265,2865,1795,2810,3170,3705,3670,3355,2790,1155,800,570,535,43685,1455,7140,300,255,125,2365,1230,35,410,90,8530,6925,10970,4825,725,1.29E+07,14.27145522,56778,93419.88,171.26,48.04214723,215.7,0,25,64.72,66.77,15,23,522,0.090909091,411,426850,1165,2.5,590,4.5,0.644308811,0,1649,334,438,1969,33,170,30,134,838,534,179,220,296,2,0,14,91,62,770,115.7449367,4300.913043,199,263,3356,3760,7770,2210,720,620,2120,1640,5480
Malvern,5078,11173,625,724,256488,81,101775,61,0,498,8.9,45085,21560,23530,2925,3045,3250,3475,3485,3385,2930,1765,3005,3100,3540,3095,2750,2535,1160,825,490,315,42915,2885,6240,445,105,100,2305,2350,15,325,70,9220,6960,9825,4545,549,1249250.532,0.690798137,66889,79469,399.64,51.56400717,205.9,2512,84,60.42,62.57,13,32,927,1.166666667,851,256488,3175,7,1060,7.9,0.708640776,9,8334,1360,2086,8044,81,319,37,118,979,729,161,174,283,2,2,3,51,118,334,74.91197001,3766.772727,180,232,1745,5170,11490,3710,720,970,2700,2740,7210
Centennial Scarborough,399,951,126,774,491024,80,0,54,2,611,5.4,13100,6355,6740,625,680,840,975,940,650,585,760,730,910,1125,1155,1010,940,560,305,170,120,12745,405,265,85,250,80,360,175,40,95,35,2145,1915,3875,1930,252,1802189.828,0.830824845,311,311,0,36.41364136,150.8,0,5,69.54,70.78,0,1,139,0,65,491024,0,0,0,0,0.47340375,0,3991,65,496,2607,2,50,4,27,243,107,52,43,52,1,0,2,13,9,115,45.86598925,2994.571429,44,44,331,690,1330,340,120,110,510,290,1290
Highland Creek,724,1798,91,751,529278,110,0,54,1,433,5.1,13100,6435,6660,445,585,710,930,1130,1020,710,740,585,715,1015,1085,1125,1050,490,345,180,245,12505,685,1060,70,305,85,465,215,15,80,70,1745,2055,4155,1985,364,1444565.206,0.194054785,10030,25829.6,0,32.01219512,170.1,0,8,68.28,64.19,1,2,3,0,96,529278,0,0,0,0,0.637194462,0,0,230,0,376,11,70,9,80,290,207,48,91,99,0,0,1,17,19,100,37.845626,3516.833333,70,50,540,1110,2120,500,140,140,480,370,1230
Morningside,2534,3566,108,711,289646,28,22000,53,8,460,5.6,17585,8445,9140,1080,995,1045,1375,1460,1250,1035,670,990,1160,1345,1355,1175,1000,600,470,335,260,16515,585,1715,185,80,40,1075,610,15,215,70,3130,2845,4475,2310,235,2317635.582,1.854249005,0,0,0,53.64758698,246.4,2125,32,59.36,61.65,5,13,460,3.333333333,419,289646,3570,20.3,1465,25,0.655450155,5,788,388,234,2750,24,161,27,47,457,330,99,61,216,4,0,1,19,51,88,32.28313942,4873.142857,35,118,1467,2140,4580,1490,200,450,1060,1260,2820
West Hill,4974,4500,424,706,308229,153,55370,66,8,765,9.6,26550,12560,14000,1575,1550,1820,2055,1870,1600,1460,1105,1525,1935,2145,2090,1800,1515,900,670,485,445,25380,575,810,435,330,90,985,425,65,445,60,4950,3930,6925,3615,338,3403338.25,1.993607468,371626,5.41E+07,104759.13,48.36601307,248.9,1725,33,58,61.5,1,22,2089,8.4,725,308229,5880,22.1,3010,31.1,0.556880414,21,5377,72,434,3907,87,387,52,102,1145,749,142,78,338,3,1,3,46,71,166,61.14700126,3824.181818,80,209,1441,3710,7640,2590,300,930,2100,2640,5630
Woburn,6747,16190,1073,723,316584,214,144255,66,22,1429,12.2,53350,26005,27330,3485,3415,3400,3575,4005,3825,3835,1950,3805,3830,3945,3580,2905,2355,1800,1690,1185,820,50890,3560,4665,615,430,180,2075,1740,70,1070,125,10295,7585,12655,7425,600,2746208.229,1.354011781,2357,17463.8,0,55.62849502,187.8,5690,93,56.83,60.67,6,26,2660,4.911764706,1306,316584,14870,27.9,5090,27.8,0.770734357,22,10365,678,1137,5106,77,412,29,128,1469,808,223,219,504,2,3,7,45,107,438,102.835355,4656.6,139,507,5041,6860,15430,4770,800,1170,2860,3190,7370
Eglinton East,4171,2351,296,705,274020,143,5800,62,5,396,3.2,22830,10580,12240,1555,1500,1500,1545,1535,1450,1485,850,1515,1675,1745,1635,1395,1130,740,615,535,420,21580,915,2740,325,255,90,1540,340,30,305,55,4535,3080,5695,3150,209,656321.1838,0.233048669,4410,901516.8,27469.6,53.68682684,214.7,1005,19,56.7,59.1,8,33,865,2.588235294,688,274020,10105,44.3,3935,48.8,0.715061035,4,64,245,0,892,48,239,17,88,720,492,111,76,223,0,1,10,23,66,122,29.46464034,3086,61,180,986,2930,6290,2110,280,680,1710,1840,4460
Scarborough Village,4133,1851,228,699,356096,217,3200,70,6,410,3.1,16615,7825,8790,1200,1140,1150,1240,1220,1035,1040,525,1045,1205,1280,1155,1080,795,430,360,335,360,15860,330,1625,250,160,50,505,865,40,525,35,3485,2445,3885,2000,115,1127497.011,0.28632843,0,0,0,55.69514238,239.2,2157,24,54.67,59.76,4,22,922,4.4,683,356096,7860,47.3,2905,49.2,0.697737056,10,3099,203,1012,2101,31,226,31,93,652,474,94,35,180,1,1,3,27,62,65,23.14334537,2111.6,29,110,714,2400,5500,1980,160,550,1120,1530,3020
Guildwood,309,924,67,774,444309,171,11500,59,14,903,3.8,9815,4550,5270,370,440,485,565,510,395,395,560,515,650,710,855,780,650,500,570,470,420,9495,185,75,95,110,40,165,25,50,70,30,1285,1075,3920,2490,179,1681205.082,0.697039334,0,0,0,31.79723502,188.6,150,7,64.99,71.48,0,3,0,0,62,444309,1020,10.4,605,15.3,0.414015747,0,1483,0,0,1801,9,44,7,32,284,113,48,24,48,0,0,2,5,14,56,31.41879421,2114.875,29,23,364,440,790,170,80,50,460,160,1090
